links,dates,places,scores_exterieur,scores_domicile,domiciles,exterieurs,vainqueurs
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-dijon-live/477168,2020-08-28 21:00:00,Lyon,1,4,Lyon,Dijon,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/rennes-montpellier-live/477172,2020-08-29 17:00:00,Rennes,1,2,Rennes,Montpellier,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/strasbourg-nice-live/477174,2020-08-29 21:00:00,Strasbourg,2,0,Strasbourg,Nice,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/reims-lille-live/477171,2020-08-30 13:00:00,Reims,1,0,Reims,Lille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nantes-nimes-live/477170,2020-08-30 15:00:00,Nantes,1,2,Nantes,Nîmes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-lorient-live/477173,2020-08-30 15:00:00,Saint-Étienne,0,2,Saint-Étienne,Lorient,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-bordeaux-live/477167,2020-08-30 15:00:00,Angers,2,0,Angers,Bordeaux,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/metz-monaco-live/477169,2020-08-30 15:00:00,Metz,1,0,Metz,Monaco,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/brest-om-live/477166,2020-08-30 21:00:00,Brest,3,2,Brest,Marseille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lens-psg-live/477165,2020-09-10 21:00:00,Lens,0,1,Lens,Paris-SG,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/bordeaux-ol-live/477177,2020-09-11 21:00:00,Bordeaux,0,0,Bordeaux,Lyon,ex-aequo
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/montpellier-nice-live/477182,2020-09-12 17:00:00,Montpellier,1,3,Montpellier,Nice,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/asse-strasbourg-live/477184,2020-09-12 21:00:00,Saint-Étienne,0,2,Saint-Étienne,Strasbourg,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lille-metz-live/477179,2020-09-13 13:00:00,Lille,0,1,Lille,Metz,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/nimes-rennes-live/477183,2020-09-13 15:00:00,Nîmes,4,2,Nîmes,Rennes,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/lorient-lens-live/477180,2020-09-13 15:00:00,Lorient,3,2,Lorient,Lens,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/angers-reims-live/477176,2020-09-13 15:00:00,Angers,0,1,Angers,Reims,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/dijon-brest-live/477178,2020-09-13 15:00:00,Dijon,2,0,Dijon,Brest,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/monaco-nantes-live/477181,2020-09-13 17:00:00,Monaco,1,2,Monaco,Nantes,domicile
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/psg-om-live/477175,2020-09-13 21:00:00,Paris,1,0,Paris-SG,Marseille,exterieur
https://www.lequipe.fr/Football/match-direct/ligue-1/2020-2021/ol-nimes-live/477188,2020-09-18 21:00:00,Lyon,0,0,Lyon,Nîmes,ex-aequo
